,Local Gov Name,Local Gov Logo,Atlas Admin Link
1418,"City of Angleton, TX",https://drive.google.com/file/d/1Y_amIkARdqcCtue6Hdjq4NaebYNOBmkk/view?usp=sharing,https://the-atlas.com/admin/affiliations/1418/edit
988,"City of Ankeny, IA",Couldnt find,https://the-atlas.com/admin/affiliations/988/edit
1688,"City of Anna, TX",Couldnt find,https://the-atlas.com/admin/affiliations/1688/edit
1689,"City of Apple Valley, MN",https://drive.google.com/file/d/1XzHRQDNqbVE_j0yctMAkEEPSEM6HSwsO/view?usp=sharing,https://the-atlas.com/admin/affiliations/1689/edit
1129,Commonwealth of Kentucky,https://drive.google.com/file/d/1-oZWatf6acH7JY9NcM87oE5520Qvhese/view?usp=sharing,https://the-atlas.com/admin/affiliations/1129/edit
1490,"State of New South Wales, Australia",Couldnt find,https://the-atlas.com/admin/affiliations/1490/edit
424,"City of Arvada, CO",Couldnt find,https://the-atlas.com/admin/affiliations/424/edit
988,"City of West Allis, WI",https://drive.google.com/file/d/1dL2j2tDNTapRU92xUe7yM3TBkZY60ojs/view?usp=sharing,
1521,"City of Sudbury, MA",https://drive.google.com/file/d/1zZo4Hq0XtEYSIsBOHaCczRtI6rtTdwVk/view?usp=sharing,
989,"City of Asbury Park, NJ",,https://the-atlas.com/admin/affiliations/989/edit
933,"Placer County, CA",,https://the-atlas.com/admin/affiliations/933/edit
606,"City of Champlin, MN",,
943,"City of Asheville, NC",,https://the-atlas.com/admin/affiliations/943/edit
425,"City of Aspen, CO",,https://the-atlas.com/admin/affiliations/425/edit
56,"City of Atlanta, GA",https://drive.google.com/file/d/11uKv9JIXp0KORUlW4EMPnGolvRtQF7A_/view?usp=sharing,https://the-atlas.com/admin/affiliations/56/edit
990,"City of Auburn, AL",,https://the-atlas.com/admin/affiliations/990/edit
99,"City of Aurora, Co",https://drive.google.com/file/d/1M2AJtFg9LRfCJ5ISn1jWgeyYahBFtbCf/view?usp=sharing,https://the-atlas.com/admin/affiliations/99/edit
273,New City Somelace,,https://the-atlas.com/admin/affiliations/273/edit
274,New Place There,,https://the-atlas.com/admin/affiliations/274/edit
368,"City of Austin, TX",,https://the-atlas.com/admin/affiliations/368/edit
426,"City of Avondale, AZ",,https://the-atlas.com/admin/affiliations/426/edit
906,City of Baltimore,https://drive.google.com/file/d/1_X3yZCaSlpO_6wWW0TDD21piDyF1KBYF/view?usp=sharing,https://the-atlas.com/admin/affiliations/906/edit
1690,"City of Bastrop, TX",,https://the-atlas.com/admin/affiliations/1690/edit
991,"City of Batavia, IL",,https://the-atlas.com/admin/affiliations/991/edit
320,"City of Baton Rouge, LA",,https://the-atlas.com/admin/affiliations/320/edit
992,"City of Battle Creek, MI",,https://the-atlas.com/admin/affiliations/992/edit
1414,"City of Baytown, TX",,https://the-atlas.com/admin/affiliations/1414/edit
427,"City of Beaver, UT",,https://the-atlas.com/admin/affiliations/427/edit
428,"City of Bedford, TX",,https://the-atlas.com/admin/affiliations/428/edit
1539,"City of Bellingham, WA",,https://the-atlas.com/admin/affiliations/1539/edit
429,"City of Benicia, CA",,https://the-atlas.com/admin/affiliations/429/edit
1691,City of Benton Harbor,,https://the-atlas.com/admin/affiliations/1691/edit
430,City of Berkeley,https://drive.google.com/file/d/1TLZxMAR4hVtixVJNjf-xqmWx5Qg8G0zk/view?usp=sharing,https://the-atlas.com/admin/affiliations/430/edit
993,"City of Berwyn, IL",,https://the-atlas.com/admin/affiliations/993/edit
431,"City of Bessemer, AL",,https://the-atlas.com/admin/affiliations/431/edit
